id,legal_experience,age,gender,race,political_views
0,2L,29,Male,White,~ Libertarian
1,"Student, 3L",24,Female,White ,N/A
2,3L,25,F,White,Dem
3,2L,23,Female,"White, Asian, Hispanic ",
4,law,56,male,white,democrat
5,2L,24,Male,Chinese,Democratic
6,"Law student, 2L",24,Male,White/ Caucasian,Democratic Party
7,Third-year law student,26,M,White,No
8,2L,24,Man,White,Democrat
9,3L,27,F,South Asian,Democrat
10,Third-year law student,26,M,White,No
11,2nd year law student,26,Female,White,Democrat
12,Law Student 2L,27,Male,White,Democrat
13,2L,27,F,White,Democrat (reluctantly)
14,3L law student,25,female,white,Democrat
15,3L,24,F,White,N/A
16,2L Law Student,23,Female,White,Democratz
17,Law student - second year,23,Male,White,Democrat
18,2L,28,F,White,Dem
19,2L,28,M,White,Democratic
20,3L,25,Female,White,Republican
21,2L,28,female,asian,democratic
22,3L,24,Female,Black/White,Democrat
23,3L Law Student,32,Male,White,Democratic
24,2L in law school,28,Male,White,Democratic Party
25,Second year law student,24,male,white,Democrat
26,2L,25,Cis woman,White,Democrats
27,3L law student,25,F,White,Democrat
28,U of Mich. Law School,28,M,Wh (jew),DSA
29,2L,26,F,White,No
30,Law Student (2L),29,Male,White,Democrat
31,"Student, 2L Law/First Year Master of Public Policy",23,Male,Caucasian,Democrat
32,Paralegal,27,Male,White,Independent
33,lawyer,41,M,white,Democrat
34,Attorney,32,Male,White,Democrat
35,Lawyer,31,F,White,No
36,attorney,37,M,caucasian,green
37,,,,,
38,3L,28,M,Caucasian,No
39,Law student (3L),25,Female,White,Republican
40,2L,23,Female,White,Democrat
41,2L,23,Female,White,Democrat
42,Law student (3L),26,Female,White,Democratic
43,Attorney,26,F,Caucasian,No
44,Law Student 2L,25,F,White,Democratic
45,Attorney,48,F,W,Democrat
46,attorney,53,female,caucasian,democrat
47,Attorney ,28,Female,Caucasian,Democrat
48,Attorney,54,Female,Caucsasian,None
49,Lawyer,55,F,White,No
50,Lawyer,35,Male,White,Republican
51,2l,25,Female,White,D
52,Attorney,38,Female,African American/Black,Democrats
53,ATTORNEY,65,FEMALE,WHITE,DEMOCRATIC SOCIALIST
54,Attorney,39,m,,
55,attorney,64,female,African Amer,Democrat
56,Attonrey,39,Female,Black,Democratic
57,Attorney,35,Female,African American,Democrat
58,attorney,39,female,white,Democrat
59,Lawyer,39,M,African-American ,No
60,"Director, Liceinsing and Compliance",40,F,,
61,Attorney,42,F,Black,Democrat
62,Attorney,40,F,W,D
63,Magistrate judge ,39,Female,African american,Independent with democratic leanings
64,2L,29,F,Mixed: South Asian/White,Democrat
65,Attorney,53,Male,Caucasian,No
66,Second year law student,23,M,White,Democratic party
67,Attorney,35,Male,White,Democrat
68,lawyer,40,Male,White/jewish,Democrat/progressive
69,attorney,52,female,white,
70,lawyer,54,female,white,Democrat
71,2L,25,F,White,Dem
72,lawyer,47,f,white,democrats
73,Attorney,29,F,Asian,"No, but generally lean left"
74,lawyer,28,female,white,democrat
75,2L,27,F,White ,No
76,Attorney,46,Female,White,Democrat
