id,start,end,length,remove,change,new name,new start,new end,Explanation
0_Roberts_Hinkel_MitchellvWisconsin.mp3,4.96,10.96,6,1,,,,,MIPTC
1_Hinkel_Roberts_MitchellvWisconsin.mp3,56.68,62.68,6,,,,,,
2_Roberts_Hinkel_MitchellvWisconsin.mp3,75.6,80.04,4.44,,,,,,
3_Hinkel_Roberts_MitchellvWisconsin.mp3,77.6,83.52,5.92,,,,,,
4_Roberts_Hinkel_MitchellvWisconsin.mp3,81.52,87.52,6,,,,,,
5_Hinkel_Roberts_MitchellvWisconsin.mp3,87.16,89.4,2.24,1,,,,,second speaker inaudible
6_Roberts_Hinkel_MitchellvWisconsin.mp3,89.16,93.4,4.24,,,,,,
7_Hinkel_Ginsburg_MitchellvWisconsin.mp3,120.32,126.32,6,,,,,,
8_Ginsburg_Hinkel_MitchellvWisconsin.mp3,157.32,163.32,6,,,,,,
9_Hinkel_Ginsburg_MitchellvWisconsin.mp3,164.28,170.28,6,,,,,,
10_Ginsburg_Hinkel_MitchellvWisconsin.mp3,171.56,177.56,6,,,,,,
11_Hinkel_Ginsburg_MitchellvWisconsin.mp3,177.08,183.08,6,,,,,,
12_Ginsburg_Hinkel_MitchellvWisconsin.mp3,191.24,197.24,6,,,,,,
13_Hinkel_Sotomayor_MitchellvWisconsin.mp3,223.36,229.36,6,,,,,,
14_Sotomayor_Hinkel_MitchellvWisconsin.mp3,243.64,249.64,6,,,,,,
15_Hinkel_Kagan_MitchellvWisconsin.mp3,264.8,270.8,6,,,,,,
16_Kagan_Hinkel_MitchellvWisconsin.mp3,279.52,285.52,6,,,,,,
17_Hinkel_Roberts_MitchellvWisconsin.mp3,338.76,344.76,6,,,,,,
18_Roberts_Hinkel_MitchellvWisconsin.mp3,362.4,368.4,6,,,,,,
19_Hinkel_Alito_MitchellvWisconsin.mp3,388.28,394.28,6,,,,,,
20_Alito_Hinkel_MitchellvWisconsin.mp3,434.6,440.6,6,,,,,,
21_Hinkel_Alito_MitchellvWisconsin.mp3,501.92,507.92,6,,,,,,
22_Alito_Hinkel_MitchellvWisconsin.mp3,571.76,577.76,6,,,,,,
23_Hinkel_Breyer_MitchellvWisconsin.mp3,676.16,682.16,6,1,,,,,no turn change
24_Breyer_Hinkel_MitchellvWisconsin.mp3,690.44,693.64,3.2,,,,,,
25_Hinkel_Breyer_MitchellvWisconsin.mp3,692.44,697.64,5.2,,,,,,
26_Breyer_Hinkel_MitchellvWisconsin.mp3,713.6,719.6,6,,,,,,
27_Hinkel_Breyer_MitchellvWisconsin.mp3,717.88,723.88,6,,,,,,
28_Breyer_Hinkel_MitchellvWisconsin.mp3,723.12,726.08,2.96,,,,,,
29_Hinkel_Breyer_MitchellvWisconsin.mp3,725.12,728.24,3.12,,,,,,
30_Breyer_Hinkel_MitchellvWisconsin.mp3,726.08,732.24,6.16,,,,,,
31_Hinkel_Breyer_MitchellvWisconsin.mp3,731.88,737.88,6,,,,,,
32_Breyer_Hinkel_MitchellvWisconsin.mp3,737.36,741.56,4.2,,,,,,
33_Hinkel_Breyer_MitchellvWisconsin.mp3,739.36,745.56,6.2,,,,,,
34_Breyer_Hinkel_MitchellvWisconsin.mp3,750.24,753.12,2.88,,,,,,
35_Hinkel_Breyer_MitchellvWisconsin.mp3,752.24,757.12,4.88,,,,,,
36_Breyer_Hinkel_MitchellvWisconsin.mp3,777.16,783.16,6,1,,,,,no turn change
37_Hinkel_Breyer_MitchellvWisconsin.mp3,782,788,6,,,,,,
38_Breyer_Hinkel_MitchellvWisconsin.mp3,788.64,791.52,2.88,,,,,,
39_Hinkel_Breyer_MitchellvWisconsin.mp3,790.64,795.52,4.88,1,,,,,first speaker inaudible
40_Breyer_Hinkel_MitchellvWisconsin.mp3,811.88,815.84,3.96,,,,,,
41_Hinkel_Breyer_MitchellvWisconsin.mp3,813.88,816.32,2.44,1,,,,,no turn change
42_Breyer_Hinkel_MitchellvWisconsin.mp3,815.84,817.88,2.04,,,,,,
43_Hinkel_Breyer_MitchellvWisconsin.mp3,816.32,820.12,3.8,,,,,,
44_Breyer_Hinkel_MitchellvWisconsin.mp3,817.88,821.56,3.68,,,,,,
45_Hinkel_Breyer_MitchellvWisconsin.mp3,820.12,825.56,5.44,,,,,,
46_Breyer_Hinkel_MitchellvWisconsin.mp3,826.48,829.36,2.88,,,,,,
47_Hinkel_Breyer_MitchellvWisconsin.mp3,828.48,833.36,4.88,,,,,,
48_Breyer_Hinkel_MitchellvWisconsin.mp3,834.12,840.12,6,,,,,,
49_Hinkel_Breyer_MitchellvWisconsin.mp3,839.8,845.8,6,,,,,,
50_Breyer_Hinkel_MitchellvWisconsin.mp3,846.64,852.64,6,,1,,,851.64,Remove second turn change
51_Hinkel_Breyer_MitchellvWisconsin.mp3,851.04,857.04,6,,,,,,
52_Breyer_Hinkel_MitchellvWisconsin.mp3,856.08,859.56,3.48,,,,,,
53_Hinkel_Breyer_MitchellvWisconsin.mp3,858.08,862.36,4.28,,,,,,
54_Breyer_Hinkel_MitchellvWisconsin.mp3,859.56,866.36,6.8,,,,,,
55_Hinkel_Breyer_MitchellvWisconsin.mp3,865.6,867.8,2.2,,,,,,
56_Breyer_Hinkel_MitchellvWisconsin.mp3,867.6,871.8,4.2,1,,,,,first speaker inaudible
57_Hinkel_Breyer_MitchellvWisconsin.mp3,872.92,876.56,3.64,,,,,,
58_Breyer_Hinkel_MitchellvWisconsin.mp3,874.92,877.12,2.2,,,,,,
59_Hinkel_Breyer_MitchellvWisconsin.mp3,876.56,881.12,4.56,,,,,,
60_Breyer_Hinkel_MitchellvWisconsin.mp3,885.64,888.28,2.64,,,,,,
61_Hinkel_Breyer_MitchellvWisconsin.mp3,887.64,890.96,3.32,,,,,,
62_Breyer_Hinkel_MitchellvWisconsin.mp3,888.28,894.96,6.68,,,,,,
63_Hinkel_Breyer_MitchellvWisconsin.mp3,896.68,902.44,5.76,,,,,,
64_Breyer_Hinkel_MitchellvWisconsin.mp3,900.44,906.44,6,,,,,,
