id,start_time,end_time,length,removed_from_corpus,changed,new_name,new_start,new_end,Explanation,r1,a1,r2,a2,speaker_1,speaker_1_gender,speaker_1_role,speaker_2,speaker_2_gender,speaker_2_role,mean_score,Text,Dash
24_Kagan_Schrup_KahlervKansas,579.16,579.6,0.44,,1,,,581.16,Clarify second speaker,66,45,50,53,Kagan,f,j,Schrup,f,a,58, Ms. -- ,TRUE
191_Kagan_Prelogar_KahlervKansas,3092.08,3092.6,0.52,,,,,,,24,8,21,8,Kagan,f,j,Prelogar,f,a,22.5, But -- ,TRUE
112_Breyer_Crouse_KahlervKansas,2190.52,2191.04,0.52,,,,,,,,,,,,,,,,,, I don't care -- ,TRUE
177_Sotomayor_Prelogar_KahlervKansas,2974.64,2975.24,0.6,,,,,,,,,,,,,,,,,, But that's -- ,TRUE
25_Schrup_Kagan_KahlervKansas,579.44,580.08,0.64,1,,,,,too fast,,,,,,,,,,,, -- and -- ,TRUE
197_Breyer_Prelogar_KahlervKansas,3206.64,3207.32,0.68,,,,,,,,,,,,,,,,,, You can -- ,TRUE
8_Ginsburg_Schrup_KahlervKansas,279.68,280.36,0.68,,,,,,,,,,,,,,,,,, My -- ,TRUE
221_Alito_Schrup_KahlervKansas,3611.24,3612,0.76,,,,,,,17,69,2,69,Alito,m,j,Schrup,f,a,9.5, It would apply -- ,TRUE
281_Kagan_Unikowsky_WAvCoug,2776.24,2777,0.76,,,,,,,29,63,0,73,Kagan,f,j,Unikowsky,m,a,14.5, Mr. Unikowsky -- ,TRUE
26_Schrup_Kagan_KahlervKansas,579.6,580.36,0.76,,,,,,,39,10,40,64,Schrup,f,a,Kagan,f,j,39.5, Ms. Schrup -- ,TRUE
26_Kagan_Schrup_KahlervKansas,579.6,580.36,0.76,,1,26_Schrup_Kagan_KahlervKansas,,,name change,,,,,,,,,,,, Ms. Schrup -- ,TRUE
269_Alito_Kagan_WAvCoug,2688.2,2689,0.8,,1,269_Kagan_Alito_WAvCoug.mp3,,,name change,,,,,,,,,,,, Suppose the -- ,TRUE
137_Kagan_Alito_KahlervKansas,2451.2,2452.08,0.88,,,,,,,,,,,,,,,,,, Could you -- ,TRUE
187_Kagan_Prelogar_KahlervKansas,3018.12,3019,0.88,,,,,,,,,,,,,,,,,, Ms. Prelogar -- ,TRUE
12_Ginsburg_Clement_VAvGolden,249.2,250.2,1,,,,,,,0,12,32,59,Ginsburg,f,j,Clement,f,a,16, But Mr. -- ,TRUE
100_Adams_Breyer_WAvCoug,1068.56,1069.56,1,,,,,,,41,25,4,61,Adams,f,a,Breyer,m,j,22.5, I don't -- ,TRUE
68_Breyer_Sotomayor_MitchellvWisconsin,914.36,915.36,1,,,,,,,82,12,24,18,Breyer,m,j,Sotomayor,f,j,53, I was going -- ,TRUE
68_Sotomayor_Breyer_MitchellvWisconsin,914.36,915.36,1,,1,68_Breyer_Sotomayor_MitchellvWisconsin,,,name change,,,,,,,,,,,, I was going -- ,TRUE
124_Adams_Breyer_WAvCoug,1198.96,1200,1.04,,,,,,,37,16,32,76,Adams,f,a,Breyer,m,j,34.5, I -- I don't have a -- ,TRUE
54_Kagan_Schrup_KahlervKansas,1170.12,1171.2,1.08,1,,,,,no turn change,,,,,,,,,,,, Ms. -- ,TRUE
84_Roberts_Hinkel_MitchellvWisconsin,1213.52,1214.72,1.2,,,,,,,32,18,50,25,Roberts,m,j,Hinkel,m,a,41, So what would count -- ,TRUE
217_Alito_Schrup_KahlervKansas,3605.88,3607.08,1.2,1,,,,,inaudible first spaker,,,,,,,,,,,, Then it would -- ,TRUE
178_Prelogar_Sotomayor_KahlervKansas,2974.84,2976.08,1.24,,,,,,,11,8,31,9,Prelogar,f,a,Sotomayor,f,j,21, I think that -- ,TRUE
30_Kagan_Sotomayor_WAvCoug,240,241.24,1.24,1,,,,,indistinguishable speakers,,,,,,,,,,,, Mr. Purcell -- ,TRUE
116_Hinkel_Breyer_MitchellvWisconsin,1520.96,1522.24,1.28,,,,,,,50,6,50,54,Hinkel,m,a,Breyer,m,j,50, If a nurse or -- or a doctor -- ,TRUE
209_Alito_Schrup_KahlervKansas,3527.24,3528.52,1.28,,,,,,,,,,,,,,,,,," Well, I would -- ",TRUE
86_Sotomayor_Crouse_KahlervKansas,1654.4,1655.72,1.32,,,,,,,29,62,13,69,Sotomayor,f,j,Crouse,m,a,21, Mr. Crouse -- ,TRUE
60_Kagan_Sotomayor_VAvGolden,1463.4,1464.72,1.32,1,,,,,indistinguishable speakers,,,,,,,,,,,, Ms. Ratner -- ,TRUE
144_Crouse_Kavanaugh_KahlervKansas,2468.2,2469.56,1.36,,,,,,,0,45,7,64,Crouse,m,a,Kavanaugh,m,j,3.5, -- individual research on duress -- ,TRUE
94_Sotomayor_Crouse_KahlervKansas,1772.24,1773.6,1.36,,,,,,,0,8,0,46,Sotomayor,f,j,Crouse,m,a,0," No, no -- ",TRUE
137_Kavanaugh_Gorsuch_WAvCoug,1360.88,1362.24,1.36,,,,,,,10,37,16,44,Kavanaugh,m,j,Gorsuch,m,j,13, What kind of -- ,TRUE
139_Kagan_Alito_KahlervKansas,2452.08,2453.44,1.36,,,,,,,50,30,50,9,Kagan,f,j,Alito,m,j,50, -- get rid of other defenses -- ,TRUE
137_Gorsuch_Kavanaugh_WAvCoug,1360.88,1362.24,1.36,,1,137_Kavanaugh_Gorsuch_WAvCoug,,,name change,,,,,,,,,,,, What kind of -- ,TRUE
